Goaltender,IceX,IceY,Save
Brown,49.19338459,25.08911302,No
Brown,59.84767155,47.98778841,Yes
Brown,66.5066009,29.0371605,Yes
Brown,41.86856231,27.85274626,Yes
Brown,41.86856231,50.59349613,No
Brown,10.57159437,59.67400533,Yes
Brown,53.1887422,21.77274953,Yes
Brown,29.54954301,20.98314003,Yes
Brown,30.54838242,69.14931928,Yes
Brown,49.85927753,24.14157801,Yes
Brown,46.52981285,56.1207626,Yes
Brown,46.19686639,16.56132806,Yes
Brown,35.54257943,40.24961294,No
Brown,27.88481068,67.49114055,Yes
Brown,17.23052372,63.54309307,Yes
Brown,39.20499057,16.16652331,Yes
Brown,48.52749166,17.58782281,Yes
Brown,67.5054403,57.85790711,Yes
Brown,65.17481503,24.29950353,Yes
Brown,31.88016829,34.56442698,No
Brown,79.8244596,42.46052193,Yes
Brown,13.90105905,43.25013143,Yes
Brown,47.52865226,54.30466437,Yes
Brown,68.5042797,64.56958782,Yes
Brown,35.8755259,19.1670418,Yes
Brown,35.20963296,14.82418958,Yes
Brown,26.22007834,63.38517358,Yes
Brown,12.56927318,61.01634509,Yes
Brown,11.57043377,60.62154034,Yes
Brown,12.23632671,50.75142164,Yes
Brown,63.51008269,71.67607329,Yes
Brown,8.906862034,70.49165904,Yes
Brown,35.8755259,28.64235576,Yes
Brown,30.54838242,42.85532668,Yes
Brown,26.88597128,74.83451127,Yes
Brown,56.85115334,68.91244005,Yes
Brown,64.17597563,72.86048753,Yes
Brown,10.2386479,70.09685429,Yes
Brown,60.84651095,69.70204955,Yes
Brown,38.53909764,22.48339928,No
Brown,41.86856231,86.0469637,Yes
Brown,83.48687074,46.17168416,Yes
Brown,62.17829682,64.33270256,Yes
Brown,82.15508487,79.33528299,Yes
Brown,31.21427535,56.83141235,Yes
Brown,59.51472508,66.70153105,Yes
Brown,10.90454084,74.20282126,Yes
Brown,20.89293486,41.43402718,Yes
Brown,27.55186421,37.4859797,Yes
Brown,41.86856231,85.65215895,Yes
Brown,45.86391992,22.87820403,Yes
Brown,27.88481068,78.54567349,Yes
Brown,31.21427535,58.0158266,Yes
Brown,46.52981285,24.85222777,Yes
Brown,63.17713623,24.85222777,Yes
Brown,67.17249383,-21.33992775,Yes
Brown,47.86159872,24.69430828,No
Brown,35.54257943,65.35919732,Yes
Brown,29.21659655,16.79821332,Yes
Brown,22.5576672,44.03974093,Yes
Brown,37.54025823,25.48391777,Yes
Brown,74.16436965,31.80079374,Yes
Brown,36.54141883,38.11766971,Yes
Brown,49.19338459,30.22157475,Yes
Brown,70.16901204,68.5176353,Yes
Brown,46.86275932,53.12025013,Yes
Brown,45.86391992,21.53587029,No
Brown,42.53445524,26.03664201,Yes
Brown,35.8755259,18.93015655,Yes
Brown,73.83142318,42.61844142,Yes
Brown,61.84535036,67.0963358,Yes
Brown,78.49267373,59.98985034,Yes
Brown,31.21427535,59.20024084,Yes
Brown,64.17597563,65.12231206,Yes
Brown,57.51704628,50.11973164,Yes
Brown,45.19802698,67.0963358,Yes
Brown,46.86275932,22.48339928,Yes
Brown,80.823299,67.49114055,Yes
Brown,35.20963296,63.14828832,Yes
Brown,5.910343827,37.4859797,Yes
Brown,15.23284492,41.82883193,Yes
Brown,70.83490498,26.82625151,Yes
Brown,10.57159437,24.85222777,Yes
Brown,38.20615117,18.14054705,Yes
Brown,62.17829682,50.11973164,Yes
Brown,20.89293486,41.82883193,No
Brown,59.18177862,29.0371605,Yes
Brown,39.20499057,39.30208395,Yes
Brown,54.85347454,15.21899432,Yes
Brown,20.89293486,71.67607329,Yes
Brown,28.21775714,38.11766971,Yes
Brown,80.49035253,51.93583589,Yes
Brown,5.244450892,59.4371261,Yes
Brown,2.91382562,31.01118424,Yes
Brown,46.19686639,22.72028454,No
Brown,79.8244596,50.35661689,Yes
Brown,25.55418541,69.85996903,Yes
Brown,40.20382997,26.82625151,Yes
Brown,26.55302481,65.91192156,Yes
Brown,48.52749166,40.64441768,Yes
Brown,37.54025823,16.95613281,Yes
Brown,6.909183229,28.4054705,Yes
Brown,21.22588133,41.82883193,Yes
Brown,26.22007834,40.64441768,Yes
Brown,37.54025823,35.51195596,Yes
Brown,22.89061367,63.54309307,Yes
Brown,39.87088351,56.83141235,No
Brown,67.5054403,29.58988474,Yes
Brown,20.55998839,19.1670418,Yes
Brown,45.86391992,83.91502047,Yes
Brown,27.88481068,46.40856941,Yes
Brown,81.48919193,52.72544538,Yes
Brown,77.82678079,57.85790711,Yes
Brown,74.16436965,59.83193085,Yes
Brown,27.21891774,36.93325546,Yes
Brown,60.18061802,32.59040324,Yes
Brown,38.20615117,24.69430828,Yes
Brown,75.16320905,67.33322106,Yes
Brown,36.20847236,84.86254946,Yes
Brown,61.84535036,40.24961294,Yes
Brown,27.55186421,44.98726991,Yes
Brown,22.89061367,23.66781352,Yes
Brown,21.5588278,44.19766042,No
Brown,74.49731612,26.03664201,Yes
Brown,47.52865226,73.41321177,Yes
Brown,44.86508052,25.08911302,No
Brown,42.20150878,32.59040324,Yes
Brown,55.85231394,22.72028454,Yes
Brown,79.49151313,54.30466437,Yes
Brown,43.86624111,27.45794151,Yes
Brown,39.53793704,48.7773979,Yes
Brown,5.57739736,70.09685429,Yes
Brown,2.91382562,55.09427387,Yes
Brown,79.15856666,70.49165904,Yes
Brown,80.15740606,37.72286496,Yes
Brown,48.19454519,67.33322106,Yes
Brown,48.52749166,16.79821332,Yes
Brown,50.192224,12.21847583,Yes
Brown,26.55302481,67.49114055,Yes
Brown,76.49499492,82.49372097,Yes
Brown,29.88248948,51.69895063,Yes
Brown,38.20615117,18.14054705,Yes
Brown,38.20615117,18.14054705,Yes
Brown,38.53909764,27.615861,Yes
Brown,41.20266937,39.85480819,Yes
Brown,44.19918758,62.75348357,Yes
Brown,47.19570579,34.95923172,Yes
Brown,42.53445524,60.62154034,Yes
Brown,40.53677644,71.67607329,Yes
Brown,28.55070361,29.43196525,Yes
Brown,37.8732047,22.32547979,Yes
Brown,41.86856231,25.48391777,Yes
Brown,10.57159437,59.83193085,Yes
Brown,43.86624111,37.72286496,Yes
Brown,44.53213405,27.06313676,Yes
Brown,46.86275932,24.29950353,Yes
Brown,78.15972726,37.72286496,Yes
Brown,42.86740171,64.96439257,Yes
Brown,51.1910634,71.67607329,Yes
Brown,65.84070796,49.17220265,Yes
Brown,48.86043813,17.98262756,No
Brown,50.85811693,31.01118424,Yes
Brown,60.18061802,22.72028454,Yes
Brown,23.22356013,76.80853501,Yes
Brown,18.56230959,76.41373026,Yes
Brown,6.243290295,41.67091244,Yes
Brown,10.57159437,73.01840702,Yes
Brown,73.16553025,64.72750731,Yes
Brown,47.52865226,23.27300877,Yes
Brown,8.240969099,67.49114055,Yes
Brown,40.20382997,25.64183726,Yes
Brown,43.86624111,84.86254946,Yes
Brown,79.8244596,42.61844142,Yes
Brown,49.19338459,63.93789782,Yes
Brown,71.50079791,62.35867882,Yes
Brown,68.17133324,49.72492689,Yes
Brown,38.20615117,51.69895063,Yes
Brown,32.21311475,56.83141235,Yes
Brown,77.49383432,23.27300877,Yes
Brown,38.20615117,49.33012214,Yes
Brown,15.56579138,44.98726991,Yes
Brown,50.85811693,29.98468949,Yes
Brown,42.20150878,25.64183726,Yes
Brown,5.244450892,58.41063134,Yes
Brown,60.18061802,38.2755892,Yes
Brown,61.17945742,45.77687941,Yes
Brown,31.54722182,39.06519869,Yes
Brown,42.86740171,24.85222777,Yes
Brown,33.21195416,59.59504559,Yes
Brown,30.54838242,60.38465508,Yes
Brown,75.16320905,59.59504559,Yes
Brown,52.85579573,40.24961294,Yes
